database_inspire,retention_target,mechanism,strength,method,evaluation_target_inspire,metric_inspire,n_replicates_inspire,mean_inspire,sd_inspire,q025_inspire,q975_inspire,truth_inspire,bias_inspire,rmse_inspire,database_mimic,evaluation_target_mimic,metric_mimic,n_replicates_mimic,mean_mimic,sd_mimic,q025_mimic,q975_mimic,truth_mimic,bias_mimic,rmse_mimic
INSPIRE,0.35,outcome_MNAR,strong,recalibration_intercept_slope_truth,full,oe,300,0.2912972774946467,0.0129111304148638,0.2650748271852789,0.3185456450585334,1.0,-0.7087027225053533,0.7088199281322872,MIMIC,full,oe,300,0.462726034537379,0.0104514419097436,0.4450114749339249,0.4848799716649535,1.0,-0.5372739654626211,0.5373752715683232
INSPIRE,0.35,outcome_MNAR,strong,recalibration_intercept_truth,full,oe,300,0.2891655481349103,0.0132097562155361,0.2630224565317139,0.3146854101629839,1.0,-0.7108344518650898,0.7109567736218231,MIMIC,full,oe,300,0.4731705560199253,0.0109023264233377,0.455052809460241,0.4971135394672832,1.0,-0.5268294439800747,0.5269418635517498
INSPIRE,0.35,outcome_MNAR,strong,reference_10pct_recalibration,full_heldout,oe,300,1.1031989998143914,0.3625258452988819,0.6288678538918205,2.1330961876597416,1.0,0.1031989998143914,0.3763468330906045,MIMIC,full_heldout,oe,300,1.0175776059683634,0.1316621982400577,0.7959638112236948,1.307845050908091,1.0,0.0175776059683634,0.1326126825087453
INSPIRE,0.35,outcome_MNAR,weak,AIPW_design_probability,reconstructed,oe,300,1.6510842156122498,0.1102641371551588,1.449723016398364,1.8788570372156377,1.7981835040786758,-0.1470992884664259,0.1837276608010485,MIMIC,reconstructed,oe,300,0.8459098960256614,0.0319310282347416,0.7850605201021751,0.9127111887486278,1.014641724383521,-0.1687318283578597,0.1717166905979158
INSPIRE,0.35,outcome_MNAR,weak,IPAW_design_probability_truncated99,reconstructed,oe,300,1.6546708311491964,0.1305439814503242,1.4263641422571864,1.94362694979088,1.7981835040786758,-0.1435126729294793,0.1938577122890822,MIMIC,reconstructed,oe,300,0.8491094474080046,0.0294740920696912,0.7937433640856135,0.9124112252389162,1.014641724383521,-0.1655322769755164,0.1681272169628916
INSPIRE,0.35,outcome_MNAR,weak,IPAW_design_probability_untruncated,reconstructed,oe,300,1.6530243376568805,0.1304228582901498,1.424648921213804,1.941739548074445,1.7981835040786758,-0.1451591664217952,0.1949989875724854,MIMIC,reconstructed,oe,300,0.8463164759736365,0.0294067471398523,0.7911617953473487,0.9095439013332676,1.014641724383521,-0.1683252484098846,0.1708662152299436
INSPIRE,0.35,outcome_MNAR,weak,naive,reconstructed,oe,300,4.300670519378618,0.2308759123968919,3.851283698292976,4.776563737083059,1.7981835040786758,2.502487015299942,2.513079240635578,MIMIC,reconstructed,oe,300,1.4660643852891833,0.0373904834688534,1.3960040166748755,1.537612103209946,1.014641724383521,0.4514226609056622,0.4529633615120945
INSPIRE,0.35,outcome_MNAR,weak,recalibration_intercept_slope_truth,full,oe,300,0.4117715140586016,0.0246094385112115,0.3679674806298438,0.4622151037519157,1.0,-0.5882284859413984,0.5887413331748793,MIMIC,full,oe,300,0.6740648176311479,0.0173738239949881,0.6422341725510383,0.7058949186643014,1.0,-0.3259351823688521,0.3263963644101422
INSPIRE,0.35,outcome_MNAR,weak,recalibration_intercept_truth,full,oe,300,0.4048103602469044,0.0227604843245107,0.3586098670566987,0.4509667576348065,1.0,-0.5951896397530956,0.5956232199279036,MIMIC,full,oe,300,0.6865989907120809,0.0180444944152243,0.6531992319997372,0.7229359649270315,1.0,-0.3134010092879191,0.3139183190823028
INSPIRE,0.35,outcome_MNAR,weak,reference_10pct_recalibration,full_heldout,oe,300,1.068382344544554,0.3354424615115982,0.6279553596075536,1.7789068446975451,1.0,0.0683823445445539,0.3417933847815377,MIMIC,full_heldout,oe,300,1.0040087093035617,0.1077531900614114,0.825275840135182,1.2249688016543896,1.0,0.0040087093035614,0.1076481175812954
