model,database,retention_target,mechanism,strength,method,evaluation_target,metric,n_replicates,mean,sd,q025,q975,truth,bias,rmse
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,reconstructed_sensitivity,300,0.5468115942028985,0.06264555623007553,0.43478260869565216,0.6739130434782609,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,ess,300,102.88333333333334,6.536472580953794,90.0,115.0,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,event_rate_se,300,0.04247467112283807,0.0025881948269893423,0.03754097615500366,0.04786779003882188,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,event_rate,300,0.1419753086419753,0.0,0.1419753086419753,0.1419753086419753,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,oe,300,0.8305172312304685,0.1546230988494305,0.5784235054167622,1.1591399440924772,1.0,-0.1694827687695315,0.22924444871198355
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,brier,300,0.11517493734655887,0.006113795605080985,0.10913847529606024,0.12946930965237902,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,auc,300,0.6787550828902096,0.031225489919988567,0.6061405223647168,0.7082831560838286,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,calibration_intercept,300,-0.4824642755403704,0.3514724759372722,-1.2518779256560768,0.07053450187807961,0.0,-0.4824642755403704,0.5965676006760389
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,calibration_slope,300,0.8537177854029172,0.2462544215900894,0.33924833079394884,1.323335365405882,1.0,-0.1462822145970828,0.2860726987898721
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,outcome_observed_fraction,300,0.3175411522633745,0.020174298089363562,0.2777777777777778,0.3549382716049383,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,reconstructed_sensitivity,300,0.5468115942028985,0.06264555623007553,0.43478260869565216,0.6739130434782609,,,
