validation_database,model_specification,threshold,model_net_benefit,treat_all_net_benefit,treat_none_net_benefit,selected_fraction
eICU,extended_common,0.05,0.1762606536984426,0.18811891944744719,0.0,0.9136133759933945
eICU,extended_common,0.06,0.1640992307574064,0.17948188667561152,0.0,0.8797605532046651
eICU,extended_common,0.07,0.15213128289813188,0.1706591112635213,0.0,0.8436371142532769
eICU,extended_common,0.08,0.1410205208057546,0.1616445363859509,0.0,0.8114356486737537
eICU,extended_common,0.09,0.12863346788416455,0.15243183898359872,0.0,0.7715966560016514
eICU,extended_common,0.1,0.1169023291017305,0.14301441497230535,0.0,0.7313448240272474
eICU,extended_common,0.11,0.10571933189612687,0.13338536345514024,0.0,0.6890287955413356
eICU,extended_common,0.12,0.09590069338237366,0.12353746985803958,0.0,0.6513572092063165
eICU,extended_common,0.13,0.08451461130823792,0.11346318790238484,0.0,0.6133759933945712
eICU,extended_common,0.14,0.07659129149094994,0.10315462031985442,0.0,0.5748787284549489
eICU,extended_common,0.15,0.06736566026968119,0.09260349820597036,0.0,0.5395809681081639
eICU,extended_common,0.16,0.059301416923462524,0.08180115889889858,0.0,0.5053153060171328
eICU,extended_common,0.17,0.05202770002499417,0.07073852225912627,0.0,0.4727010011353081
eICU,extended_common,0.18,0.04488620487402109,0.05940606521350589,0.0,0.442873361544019
eICU,extended_common,0.19,0.03869221683237578,0.047793794413672624,0.0,0.4113943647435236
eICU,extended_common,0.2,0.03374961296315408,0.035891216843843526,0.0,0.38259882340798845
eICU,extended_common,0.21,0.028434960172765422,0.023687308196297274,0.0,0.3545257508514811
eICU,extended_common,0.22,0.021891068645119624,0.011170478814198498,0.0,0.3300650221901125
eICU,extended_common,0.23,0.017162319567108508,-0.0016714630193833402,0.0,0.3046754050985654
eICU,extended_common,0.24,0.012743697410519797,-0.014851350690691018,0.0,0.2821756631231293
eICU,extended_common,0.25,0.009632917053703519,-0.028382702033233537,0.0,0.26174011765920113
eICU,extended_common,0.26,0.005718382227825926,-0.04227976557422322,0.0,0.24254309010217773
eICU,extended_common,0.27,0.0023073758265622357,-0.056557570582089295,0.0,0.2254102590566622
eICU,extended_common,0.28,0.00026949232233574455,-0.07123198128461836,0.0,0.20683249045309113
eICU,extended_common,0.29,-0.0028855141375656174,-0.08631975566890873,0.0,0.19248632469811125
eICU,extended_common,0.3,-0.005175235539566232,-0.10183860932132169,0.0,0.17721127051295282
